playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
baineha01,NULL,NULL,9908,NULL,NULL,NULL,NULL,NULL,14,298,1062,2866,9,187,488,49,34,1628,1441,2830,NULL,1299,0
bakerdu01,NULL,NULL,7117,NULL,NULL,NULL,NULL,NULL,30,158,762,1981,27,52,320,23,137,1013,926,2039,NULL,964,0
bakerfr01,NULL,NULL,5984,NULL,NULL,NULL,NULL,NULL,50,0,473,1838,153,0,315,103,235,987,182,1575,NULL,887,1
bancrda01,NULL,NULL,7182,NULL,NULL,NULL,NULL,NULL,23,0,827,2004,212,0,320,77,145,591,487,1913,NULL,1048,1
bandosa01,0,0,7060,0,0,0,0,2,75,149,1031,1790,65,69,289,38,75,1039,923,2019,0,982,0
bankser01,NULL,NULL,9421,NULL,NULL,NULL,NULL,NULL,70,229,763,2583,45,198,407,90,50,1636,1236,2528,NULL,1305,1
barbest01,42,21,563,106,13,90,59,870,2,2,38,65,45,0,5,2,0,27,320,466,121,24,0
barnero01,0,0,2392,0,0,0,0,8,0,0,114,859,0,0,144,44,73,350,65,499,0,698,0
barrji01,30,20,513,112,12,74,64,908,4,4,15,83,68,0,15,2,2,31,129,481,101,28,0
barryja01,NULL,NULL,4146,NULL,NULL,NULL,NULL,NULL,76,0,396,1009,284,0,142,38,153,429,142,1223,NULL,532,0
bartedi01,NULL,NULL,7629,NULL,NULL,NULL,NULL,NULL,97,102,748,2165,269,0,442,71,109,710,627,2016,NULL,1130,0
bartobo01,NULL,NULL,1049,NULL,NULL,NULL,NULL,NULL,5,33,87,237,6,18,31,3,3,66,168,393,NULL,54,0
battijo01,0,0,1953,0,0,2,0,6,1,0,40,439,0,0,51,25,26,143,36,480,0,228,0
bauerha01,NULL,NULL,5145,NULL,NULL,NULL,NULL,NULL,34,95,521,1424,51,11,229,57,50,703,638,1544,NULL,833,0
baylodo01,NULL,NULL,8198,NULL,NULL,NULL,NULL,NULL,267,196,805,2135,16,91,366,28,285,1276,1069,2292,NULL,1236,0
beaucji01,NULL,NULL,661,NULL,NULL,NULL,NULL,NULL,3,11,54,153,0,6,18,4,6,90,150,393,NULL,79,0
beaumgi01,NULL,NULL,5660,NULL,NULL,NULL,NULL,NULL,30,0,425,1759,166,0,182,82,254,617,14,1463,NULL,955,0
